donor,recipient,donated_amount
Greece,Colombia,32667185
Greece,Saudi Arabia,32667185
Greece,Romania,32667185
Greece,Romania,32667185
Greece,Colombia,32667185
Greece,Romania,32667185
Greece,Brazil,32667185
Greece,India,32667185
Greece,Latvia,32667185
Greece,Romania,32667185
Greece,Taiwan,32667185
Greece,Cyprus,32667185
Greece,Poland,32667185
Greece,South Africa,32667185
Greece,Romania,32667185
Greece,Chile,32667185
Greece,Romania,32667185
Greece,Chile,32667185
Greece,Romania,32667185
Greece,Poland,32667185
Greece,India,32667185
Greece,Chile,32667185
Greece,Romania,32667185
Greece,Romania,32667185
Greece,Romania,32667185
Greece,Brazil,32667185
Greece,Thailand,32667185
Greece,Romania,32667185
Greece,Chile,32667185
Greece,Romania,32667185
Greece,Romania,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,Romania,32667185
Greece,Hungary,32667185
Greece,Romania,32667185
Greece,Cyprus,32667185
Greece,Thailand,32667185
Greece,Slovenia,32667185
Greece,Estonia,32667185
Greece,Brazil,32667185
Greece,Romania,32667185
Greece,Cyprus,32667185
Greece,Poland,32667185
Greece,India,32667185
Greece,Slovenia,32667185
Greece,Brazil,32667185
Greece,Slovenia,32667185
Greece,Lithuania,32667185
Greece,Colombia,32667185
Greece,Thailand,32667185
Greece,Romania,32667185
Greece,Brazil,32667185
Greece,Poland,32667185
Greece,Romania,32667185
Greece,Romania,32667185
Greece,Brazil,32667185
Greece,Latvia,32667185
Greece,Brazil,32667185
Greece,Chile,32667185
Greece,Brazil,32667185
Greece,Poland,32667185
Greece,Romania,32667185
Greece,Colombia,32667185
Greece,Brazil,32667185
Greece,Romania,32667185
Greece,Romania,32667185
Greece,Brazil,32667185
Greece,Thailand,32667185
Greece,Romania,32667185
Greece,Brazil,32667185
Greece,Thailand,32667185
Greece,Thailand,32667185
Greece,South Africa,32667185
Greece,South Africa,32667185
Greece,India,32667185
Greece,India,32667185
Greece,Colombia,32667185
Greece,Poland,32667185
Greece,Chile,32667185
Greece,Chile,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,Thailand,32667185
Greece,South Africa,32667185
Greece,Chile,32667185
Greece,Brazil,32667185
Greece,Chile,32667185
Greece,South Africa,32667185
Greece,South Africa,32667185
Greece,India,32667185
Greece,Brazil,32667185
Greece,India,32667185
Greece,Saudi Arabia,32667185
Greece,India,32667185
Greece,South Africa,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,Thailand,32667185
Greece,Thailand,32667185
Greece,Thailand,32667185
Greece,Thailand,32667185
Greece,South Africa,32667185
Greece,South Africa,32667185
Greece,South Africa,32667185
Greece,South Africa,32667185
Greece,Thailand,32667185
Greece,India,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,Saudi Arabia,32667185
Greece,South Africa,32667185
Greece,South Africa,32667185
Greece,Colombia,32667185
Greece,Thailand,32667185
Greece,Brazil,32667185
Greece,India,32667185
Greece,Thailand,32667185
Greece,India,32667185
Greece,Brazil,32667185
Greece,South Africa,32667185
Greece,India,32667185
Greece,Brazil,32667185
Greece,Thailand,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,Slovenia,32667185
Greece,South Africa,32667185
Greece,India,32667185
Greece,India,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,Chile,32667185
Greece,South Africa,32667185
Greece,South Africa,32667185
Greece,Thailand,32667185
Greece,Saudi Arabia,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,India,32667185
Greece,Colombia,32667185
Greece,South Africa,32667185
Greece,Brazil,32667185
Greece,India,32667185
Greece,Chile,32667185
Greece,South Africa,32667185
Greece,Thailand,32667185
Greece,India,32667185
Greece,Brazil,32667185
Greece,Chile,32667185
Greece,India,32667185
Greece,Colombia,32667185
Greece,Colombia,32667185
Greece,Chile,32667185
Greece,Chile,32667185
Greece,Chile,32667185
Greece,Chile,32667185
Greece,Chile,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,Thailand,32667185
Greece,South Africa,32667185
Greece,India,32667185
Greece,Chile,32667185
Greece,Chile,32667185
Greece,Brazil,32667185
Greece,India,32667185
Greece,South Africa,32667185
Greece,Brazil,32667185
Greece,India,32667185
Greece,India,32667185
Greece,Colombia,32667185
Greece,Chile,32667185
Greece,Chile,32667185
Greece,Chile,32667185
Greece,Brazil,32667185
Greece,South Africa,32667185
Greece,Brazil,32667185
Greece,Thailand,32667185
Greece,South Africa,32667185
Greece,Chile,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,Saudi Arabia,32667185
Greece,Brazil,32667185
Greece,South Africa,32667185
Greece,South Africa,32667185
Greece,Thailand,32667185
Greece,South Africa,32667185
Greece,India,32667185
Greece,Chile,32667185
Greece,South Africa,32667185
Greece,Thailand,32667185
Greece,South Africa,32667185
Greece,Brazil,32667185
Greece,Thailand,32667185
Greece,South Africa,32667185
Greece,India,32667185
Greece,Colombia,32667185
Greece,Chile,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,Thailand,32667185
Greece,Thailand,32667185
Greece,South Africa,32667185
Greece,South Africa,32667185
Greece,Brazil,32667185
Greece,Chile,32667185
Greece,South Africa,32667185
Greece,Brazil,32667185
Greece,Chile,32667185
Greece,Colombia,32667185
Greece,Thailand,32667185
Greece,Chile,32667185
Greece,India,32667185
Greece,Thailand,32667185
Greece,Saudi Arabia,32667185
Greece,South Africa,32667185
Greece,Saudi Arabia,32667185
Greece,Chile,32667185
Greece,Chile,32667185
Greece,Chile,32667185
Greece,Chile,32667185
Greece,Brazil,32667185
Greece,Colombia,32667185
Greece,Chile,32667185
Greece,Thailand,32667185
Greece,Brazil,32667185
Greece,South Africa,32667185
Greece,Chile,32667185
Greece,Thailand,32667185
Greece,Saudi Arabia,32667185
Greece,India,32667185
Greece,South Africa,32667185
Greece,Brazil,32667185
Greece,India,32667185
Greece,Chile,32667185
Greece,Slovenia,32667185
Greece,South Africa,32667185
Greece,Thailand,32667185
Greece,India,32667185
Greece,South Africa,32667185
Greece,Chile,32667185
Greece,South Africa,32667185
Greece,South Africa,32667185
Greece,Romania,32667185
Greece,Taiwan,32667185
Greece,Romania,32667185
Greece,Brazil,32667185
Greece,Romania,32667185
Greece,South Africa,32667185
Greece,Romania,32667185
Greece,Slovenia,32667185
Greece,South Africa,32667185
Greece,Slovenia,32667185
Greece,Czech Republic,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,Romania,32667185
Greece,Chile,32667185
Greece,South Africa,32667185
Greece,Brazil,32667185
Greece,Poland,32667185
Greece,Poland,32667185
Greece,Brazil,32667185
Greece,Czech Republic,32667185
Greece,Brazil,32667185
Greece,Romania,32667185
Greece,Romania,32667185
Greece,Brazil,32667185
Greece,Lithuania,32667185
Greece,Romania,32667185
Greece,Romania,32667185
Greece,India,32667185
Greece,Chile,32667185
Greece,Thailand,32667185
Greece,Chile,32667185
Greece,Romania,32667185
Greece,Cyprus,32667185
Greece,Poland,32667185
Greece,Romania,32667185
Greece,Cyprus,32667185
Greece,India,32667185
Greece,Romania,32667185
Greece,South Africa,32667185
Greece,Romania,32667185
Greece,Brazil,32667185
Greece,India,32667185
Greece,Brazil,32667185
Greece,India,32667185
Greece,Poland,32667185
Greece,Lithuania,32667185
Greece,India,32667185
Greece,Romania,32667185
Greece,Romania,32667185
Greece,Brazil,32667185
Greece,Saudi Arabia,32667185
Greece,South Africa,32667185
Greece,Thailand,32667185
Greece,Romania,32667185
Greece,Romania,32667185
Greece,South Africa,32667185
Greece,Romania,32667185
Greece,Estonia,32667185
Greece,South Africa,32667185
Greece,Romania,32667185
Greece,Chile,32667185
Greece,Cyprus,32667185
Greece,Thailand,32667185
Greece,United Arab Emirates,32667185
Greece,Brazil,32667185
Greece,South Africa,32667185
Greece,South Africa,32667185
Greece,Romania,32667185
Greece,Romania,32667185
Greece,Romania,32667185
Greece,South Africa,32667185
Greece,Brazil,32667185
Greece,Romania,32667185
Greece,South Africa,32667185
